IDs,length,Exptl.,resolution,R-factor,FreeRvalue
1WMSA,177,XRAY,1.25,0.14,0.2
1WMWA,330,XRAY,1.55,0.17,0.2
1WMXA,205,XRAY,2,0.23,0.23
1WN2A,121,XRAY,1.2,0.19,0.21
1WNAA,131,XRAY,1.58,0.21,0.23
1WNYA,186,XRAY,1.6,0.18,0.21
1WOCA,103,XRAY,2,0.22,0.28
1WOHA,305,XRAY,1.75,0.22,0.25
1WOLA,122,XRAY,1.62,0.19,0.22
1WOQA,267,XRAY,1.8,0.19,0.22
1WOSA,364,XRAY,1.84,0.22,0.25
1WOUA,123,XRAY,1.8,0.23,0.23
1WOVA,250,XRAY,1.75,0.2,0.25
1WOZA,177,XRAY,1.94,0.17,0.21
1WP5A,323,XRAY,1.79,0.16,0.21
1WPAA,114,XRAY,1.5,0.24,0.26
1WPBA,172,XRAY,2,0.21,0.23
1WPNA,188,XRAY,1.3,0.14,0.17
1WPOA,256,XRAY,2,0.22,0.29
1WPUA,147,XRAY,1.48,0.21,0.24
1WQ6A,72,XRAY,2,0.23,0.27
1WQ8A,110,XRAY,1.9,0.19,0.23
1WQAA,455,XRAY,2,0.22,0.24
1WQJB,80,XRAY,1.6,0.19,0.26
1WR2A,238,XRAY,2,0.23,0.25
1WR8A,231,XRAY,1.6,0.2,0.21
1WRDA,103,XRAY,1.75,0.21,0.26
1WRIA,93,XRAY,1.2,0.12,0.14
1WS0A,156,XRAY,1.7,0.21,0.22
1WS8A,109,XRAY,1.6,0.19,0.21
1WSRA,375,XRAY,2,0.16,0.19
1WT6A,81,XRAY,1.6,0.23,0.27
1WTEA,272,XRAY,1.9,0.17,0.22
1WTJA,343,XRAY,1.55,0.19,0.21
1WU4A,396,XRAY,1.35,0.18,0.2
1WU9A,80,XRAY,1.54,0.18,0.22
1WUBA,178,XRAY,1.65,0.22,0.26
1WURA,220,XRAY,1.82,0.21,0.24
1WV3A,238,XRAY,1.75,0.2,0.22
1WV9A,94,XRAY,2,0.21,0.26
1WVEC,80,XRAY,1.85,0.16,0.19
1WVFA,520,XRAY,1.3,0.15,0.17
1WVGA,359,XRAY,1.8,0.2,0.27
1WVHA,134,XRAY,1.5,0.22,0.24
1WVQA,167,XRAY,1.45,0.21,0.22
1WWCA,118,XRAY,1.9,0.19,0.29
1WWIA,148,XRAY,1.58,0.19,0.2
1WWKA,307,XRAY,1.9,0.22,0.25
1WWRA,171,XRAY,1.8,0.2,0.25
1WWZA,159,XRAY,1.75,0.21,0.24
1WX1A,335,XRAY,1.97,0.19,0.22
1WXXA,382,XRAY,1.8,0.22,0.23
1WY1A,172,XRAY,1.8,0.2,0.23
1WY2A,351,XRAY,1.7,0.19,0.21
1WY3A,35,XRAY,0.95,0.14,0.17
1WYXA,69,XRAY,1.14,0.18,0.19
1WZ3A,96,XRAY,1.8,0.22,0.24
1WZAA,488,XRAY,1.6,0.19,0.21
1WZDA,215,XRAY,1.35,0.18,0.2
1WZLA,585,XRAY,2,0.2,0.23
1WZNA,252,XRAY,1.9,0.21,0.23
1WZOA,246,XRAY,1.9,0.21,0.23
1WZZA,334,XRAY,1.65,0.18,0.2
1X0LA,333,XRAY,1.85,0.22,0.25
1X0PA,143,XRAY,2,0.23,0.27
1X0TA,120,XRAY,1.6,0.22,0.24
1X13A,401,XRAY,1.9,0.18,0.22
1X1IA,752,XRAY,1.8,0.18,0.2
1X1OA,286,XRAY,1.9,0.22,0.25
1X25A,128,XRAY,2,0.15,0.19
1X2IA,75,XRAY,1.45,0.22,0.24
1X3KA,152,XRAY,1.64,0.19,0.21
1X3SA,195,XRAY,1.32,0.18,0.21
1X3XA,82,XRAY,1.8,0.19,0.24
1X46A,150,XRAY,1.5,0.19,0.23
1X54A,434,XRAY,1.45,0.17,0.19
1X6IA,91,XRAY,1.2,0.17,0.21
1X6OA,174,XRAY,1.6,0.18,0.21
1X6ZA,123,XRAY,0.78,0.14,0.15
1X7DA,350,XRAY,1.6,0.17,0.19
1X7VA,99,XRAY,1.78,0.17,0.22
1X8BA,289,XRAY,1.81,0.22,0.24
1X8DA,104,XRAY,1.8,0.23,0.28
1X8QA,184,XRAY,0.85,0.1,0.13
1X91A,153,XRAY,1.5,0.18,0.21
1X9DA,538,XRAY,1.41,0.15,0.16
1X9IA,302,XRAY,1.16,0.15,0.16
1X9UA,116,XRAY,1.8,0.2,0.24
1XAKA,83,XRAY,1.8,0.22,0.28
1XAUA,122,XRAY,1.8,0.21,0.27
1XBIA,120,XRAY,1.45,0.18,0.19
1XCRA,316,XRAY,1.7,0.19,0.22
1XD3A,230,XRAY,1.45,0.18,0.19
1XD5A,112,XRAY,2,0.18,0.21
1XDNA,277,XRAY,1.2,0.13,0.15
1XDWA,331,XRAY,1.98,0.18,0.23
1XDZA,240,XRAY,1.6,0.2,0.22
1XE0A,114,XRAY,1.7,0.21,0.26
1XE1A,116,XRAY,2,0.22,0.24
1XE7A,203,XRAY,1.75,0.22,0.24
1XEOA,168,XRAY,1.3,0.2,0.21
1XERA,103,XRAY,2,0.17,0.24
1XFCA,384,XRAY,1.9,0.21,0.25
1XFFA,240,XRAY,1.8,0.16,1
1XFJA,261,XRAY,1.75,0.18,0.22
1XFKA,336,XRAY,1.8,0.2,0.23
1XFSA,178,XRAY,1.7,0.22,0.26
1XG0A,76,XRAY,0.97,0.11,0.13
1XG0C,177,XRAY,0.97,0.11,0.13
1XG2B,153,XRAY,1.9,0.2,0.23
1XG4A,295,XRAY,1.6,0.18,0.2
1XG5A,279,XRAY,1.53,0.16,0.21
1XG7A,250,XRAY,1.88,0.21,0.26
1XGKA,352,XRAY,1.4,0.19,0.24
1XGSA,295,XRAY,1.75,0.19,0.23
1XGWA,176,XRAY,1.9,0.23,0.26
1XHDA,173,XRAY,1.9,0.15,0.16
1XHKA,187,XRAY,1.9,0.23,0.26
1XHNA,184,XRAY,1.95,0.16,0.21
1XI3A,215,XRAY,1.7,0.19,0.21
1XIOA,261,XRAY,2,0.23,0.26
1XIWA,105,XRAY,1.9,0.21,0.24
1XIWB,79,XRAY,1.9,0.21,0.24
1XJUA,163,XRAY,1.07,0.13,0.15
1XJVA,294,XRAY,1.73,0.23,0.24
1XK7A,408,XRAY,1.6,0.19,0.21
1XKIA,162,XRAY,1.8,0.19,0.25
1XKLA,273,XRAY,2,0.19,0.23
1XKNA,355,XRAY,1.6,0.18,0.2
1XKPA,246,XRAY,1.7,0.2,0.24
1XKPB,124,XRAY,1.7,0.2,0.24
1XKPC,143,XRAY,1.7,0.2,0.24
1XKRA,206,XRAY,1.75,0.23,0.24
1XKWA,665,XRAY,2,0.22,0.24
1XKYA,301,XRAY,1.94,0.16,0.2
1XKZA,255,XRAY,1.75,0.21,0.23
1XL7A,612,XRAY,2,0.19,0.22
1XLQA,106,XRAY,1.45,0.2,0.2
1XLYA,234,XRAY,1.95,0.21,0.24
1XM3A,264,XRAY,1.8,0.21,0.24
1XM8A,254,XRAY,1.74,0.14,0.19
1XMKA,79,XRAY,0.97,0.14,0.18
1XMTA,103,XRAY,1.15,0.15,0.17
1XNFA,275,XRAY,1.98,0.17,0.21
1XNGA,268,XRAY,1.7,0.23,0.26
1XO0B,324,XRAY,2,0.22,0.27
1XO5A,183,XRAY,1.99,0.21,0.26
1XODA,118,XRAY,1.15,0.15,0.18
1XOVA,326,XRAY,1.8,0.17,0.2
1XPKD,388,XRAY,2,0.2,0.23
1XPPA,115,XRAY,1.6,0.22,0.26
1XQAA,113,XRAY,1.8,0.22,0.24
1XQOA,256,XRAY,1.03,0.16,0.18
1XREA,217,XRAY,1.8,0.16,0.22
1XRKA,124,XRAY,1.5,0.17,0.19
1XRTA,467,XRAY,1.609,0.17,0.21
1XRUA,282,XRAY,1.94,0.17,0.19
1XS0A,136,XRAY,1.58,0.23,0.26
1XS1A,193,XRAY,1.8,0.16,0.2
1XS5A,241,XRAY,1.85,0.19,0.23
1XSQA,168,XRAY,1.6,0.23,0.26
1XSVA,113,XRAY,1.7,0.19,0.22
1XSZA,356,XRAY,1.41,0.2,0.23
1XT5A,135,XRAY,1.15,0.13,0.14
1XT8A,292,XRAY,2,0.18,0.23
1XTAA,221,XRAY,1.58,0.24,0.25
1XTEA,154,XRAY,1.6,0.19,0.22
1XTPA,254,XRAY,1.94,0.16,0.22
1XTTA,216,XRAY,1.8,0.19,0.23
1XTYA,120,XRAY,1.8,0.2,0.22
1XU1R,42,XRAY,1.9,0.17,0.2
1XU9A,286,XRAY,1.55,0.16,0.18
1XUBA,298,XRAY,1.3,0.14,0.16
1XV2A,237,XRAY,2,0.19,0.24
1XV5A,401,XRAY,1.73,0.17,0.2
1XVXA,312,XRAY,1.53,0.16,0.19
1XW3A,110,XRAY,1.65,0.22,0.26
1XW8A,252,XRAY,2,0.24,0.27
1XWVA,129,XRAY,1.83,0.22,0.26
1XWYA,264,XRAY,2,0.17,0.22
1XX6A,191,XRAY,2,0.24,0.27
1XYZA,347,XRAY,1.4,0.18,0.22
1XZZA,246,XRAY,1.8,0.2,0.24
1Y02A,120,XRAY,1.8,0.21,0.23
1Y07A,128,XRAY,1.55,0.19,0.23
1Y08A,323,XRAY,1.93,0.2,0.23
1Y0BA,197,XRAY,1.8,0.18,0.23
1Y0HA,102,XRAY,1.6,0.18,0.22
1Y0KA,209,XRAY,1.75,0.19,0.22
1Y0MA,61,XRAY,1.2,0.15,0.18
1Y0NA,78,XRAY,2,0.25,0.29
1Y0PA,571,XRAY,1.5,0.15,0.18
1Y0UA,96,XRAY,1.6,0.17,0.2
1Y0YA,353,XRAY,1.6,0.21,0.22
1Y12A,165,XRAY,1.95,0.18,0.23
1Y1PA,342,XRAY,1.6,0.22,0.24
1Y1XA,191,XRAY,1.95,0.19,0.23
1Y2KA,349,XRAY,1.36,0.17,0.19
1Y2MA,716,XRAY,1.6,0.16,0.19
1Y43A,39,XRAY,1.4,0.2,0.23
1Y43B,173,XRAY,1.4,0.2,0.23
1Y4JA,284,XRAY,1.864,0.17,0.2
1Y4WA,518,XRAY,1.55,0.17,0.2
1Y55X,126,XRAY,1,0.17,0.18
1Y5EA,169,XRAY,1.9,0.19,0.21
1Y5HA,133,XRAY,1.5,0.22,0.23
1Y60A,169,XRAY,1.9,0.23,0.24
1Y63A,184,XRAY,1.7,0.17,0.2
1Y66A,52,XRAY,1.65,0.19,0.23
1Y6XA,93,XRAY,1.25,0.18,0.21
1Y6ZA,263,XRAY,1.88,0.21,0.27
1Y71A,130,XRAY,1.95,0.22,0.27
1Y791,680,XRAY,2,0.24,0.28
1Y7LA,316,XRAY,1.55,0.2,0.21
1Y7PA,223,XRAY,1.9,0.21,0.26
1Y7RA,133,XRAY,1.7,0.17,0.22
1Y7WA,291,XRAY,1.86,0.19,0.2
1Y7YA,74,XRAY,1.69,0.17,0.22
1Y80A,210,XRAY,1.7,0.18,0.21
1Y81A,138,XRAY,1.701,0.22,0.24
1Y88A,199,XRAY,1.85,0.2,0.23
1Y89A,238,XRAY,2,0.16,0.19
1Y8AA,332,XRAY,1.4,0.18,0.22
1Y93A,159,XRAY,1.03,0.16,0.17
1Y9IA,178,XRAY,1.8,0.23,0.24
1Y9LA,115,XRAY,1.5,0.22,0.25
1Y9QA,192,XRAY,1.9,0.23,0.22
1Y9UA,323,XRAY,1.39,0.17,0.18
1Y9WA,140,XRAY,1.9,0.2,0.25
1Y9ZA,441,XRAY,1.4,0.2,0.21
1YACA,208,XRAY,1.8,0.17,0.2
1YARA,233,XRAY,1.9,0.18,0.22
1YARH,217,XRAY,1.9,0.18,0.22
1YARO,237,XRAY,1.9,0.18,0.22
1YB0A,159,XRAY,1.86,0.21,0.24
1YB1A,272,XRAY,1.95,0.16,0.19
1YB3A,175,XRAY,1.6,0.2,0.23
1YB5A,351,XRAY,1.85,0.17,0.21
1YBKA,52,XRAY,1.45,0.21,0.23
1YBXA,143,XRAY,1.8,0.23,0.26
1YBYA,215,XRAY,1.95,0.23,0.27
1YBZA,91,XRAY,1.82,0.2,0.24
1YC5A,246,XRAY,1.4,0.19,0.2
1YC9A,442,XRAY,1.8,0.19,0.22
1YCDB,243,XRAY,1.7,0.17,0.2
1YCKA,175,XRAY,1.7,0.19,0.21
1YD0A,96,XRAY,1.5,0.17,0.18
1YD6A,99,XRAY,2,0.22,0.25
1YD9A,193,XRAY,1.6,0.23,0.26
1YDGA,211,XRAY,2,0.19,0.24
1YDIB,24,XRAY,1.8,0.18,0.23
1YDYA,356,XRAY,1.7,0.19,0.23
1YE8A,178,XRAY,1.4,0.17,0.21
1YF9A,171,XRAY,2,0.19,0.21
1YFNE,32,XRAY,1.8,0.24,0.26
1YFQA,342,XRAY,1.1,0.15,0.19
1YG9A,330,XRAY,1.3,0.18,0.21
1YGTA,111,XRAY,1.7,0.2,0.23
1YH2A,169,XRAY,2,0.2,0.24
1YHFA,115,XRAY,2,0.19,0.25
1YHTA,367,XRAY,2,0.15,0.21
1YI9A,309,XRAY,1.7,0.2,0.23
1YIXA,265,XRAY,1.9,0.2,0.25
1YJ7A,171,XRAY,1.8,0.18,0.21
1YKDA,398,XRAY,1.9,0.18,0.21
1YKIA,217,XRAY,1.7,0.14,0.17
1YKWA,435,XRAY,2,0.2,0.24
1YLEA,342,XRAY,1.7,0.19,0.22
1YLLA,200,XRAY,1.64,0.2,0.24
1YLMA,144,XRAY,1.83,0.2,0.24
1YLXA,103,XRAY,1.6,0.23,0.25
1YM3A,215,XRAY,1.75,0.18,0.23
1YMTA,246,XRAY,1.2,0.2,0.21
1YN3A,98,XRAY,1.35,0.22,0.23
1YN4A,99,XRAY,1.8,0.23,0.24
1YN8A,59,XRAY,1.7,0.17,0.22
1YN9A,169,XRAY,1.5,0.17,0.19
1YNBA,173,XRAY,1.76,0.21,0.24
1YNFA,458,XRAY,1.9,0.22,0.25
1YNPA,317,XRAY,1.25,0.17,0.21
1YOAA,159,XRAY,1.9,0.2,0.23
1YOCA,147,XRAY,1.7,0.17,0.2
1YOZA,116,XRAY,2,0.23,0.3
1YPFA,336,XRAY,1.8,0.18,0.24
1YPHC,131,XRAY,1.34,0.14,0.19
1YPHE,97,XRAY,1.34,0.14,0.19
1YPQA,135,XRAY,1.4,0.18,0.19
1YPYA,184,XRAY,1.51,0.24,0.25
1YQ2A,1024,XRAY,1.9,0.16,0.2
1YQ5A,144,XRAY,2,0.22,0.24
1YQBA,100,XRAY,2,0.19,0.24
1YQEA,282,XRAY,1.83,0.21,0.23
1YQGA,263,XRAY,1.9,0.2,0.24
1YQHA,109,XRAY,1.7,0.16,0.2
1YQSA,349,XRAY,1.05,0.11,0.14
1YQTA,538,XRAY,1.9,0.2,0.23
1YR2A,741,XRAY,1.8,0.16,0.19
1YRBA,262,XRAY,1.75,0.2,0.25
1YRRA,382,XRAY,2,0.16,0.2
1YS1X,320,XRAY,1.1,0.15,0.16
1YS7A,233,XRAY,1.58,0.19,0.23
1YSPA,181,XRAY,1.8,0.21,0.26
1YSQA,193,XRAY,1.75,0.2,0.21
1YSRA,150,XRAY,1.78,0.2,0.25
1YT3A,375,XRAY,1.6,0.2,0.22
1YT8A,539,XRAY,1.9,0.18,0.21
1YTLA,174,XRAY,1.8,0.17,0.21
1YTVM,84,XRAY,1.8,0.2,0.23
1YU0A,381,XRAY,1.56,0.13,0.14
1YUMC,242,XRAY,1.7,0.19,0.25
1YUZA,202,XRAY,1.4,0.19,0.21
1YVRA,538,XRAY,1.95,0.21,0.26
1YW4A,341,XRAY,2,0.22,0.26
1YW5A,177,XRAY,1.6,0.2,0.24
1YWFA,296,XRAY,1.71,0.18,0.21
1YWMA,200,XRAY,1.86,0.19,0.23
1YX1A,264,XRAY,1.8,0.17,0.2
1YXMA,303,XRAY,1.9,0.21,0.24
1YXYA,234,XRAY,1.6,0.19,0.21
1YYAA,250,XRAY,1.6,0.17,0.18
1YZ1A,174,XRAY,2,0.19,0.24
1YZFA,195,XRAY,1.9,0.19,0.24
1Z02A,446,XRAY,1.8,0.2,0.24
1Z05A,429,XRAY,2,0.19,0.22
1Z06A,189,XRAY,1.81,0.21,0.22
1Z08A,170,XRAY,1.8,0.2,0.23
1Z0JA,170,XRAY,1.32,0.21,0.23
1Z0JB,59,XRAY,1.32,0.21,0.23
1Z0NA,96,XRAY,1.49,0.18,0.21
1Z0PA,84,XRAY,1.7,0.22,0.26
1Z0SA,278,XRAY,1.7,0.2,0.23
1Z0WA,207,XRAY,1.2,0.14,0.18
1Z1SA,163,XRAY,1.49,0.17,0.2
1Z1YA,186,XRAY,2,0.24,0.28
1Z2AA,168,XRAY,1.9,0.24,0.28
1Z2NX,324,XRAY,1.2,0.18,0.2
1Z2UA,150,XRAY,1.1,0.13,0.15
1Z3EA,132,XRAY,1.5,0.2,0.22
1Z3EB,73,XRAY,1.5,0.2,0.22
1Z3XA,238,XRAY,1.5,0.18,0.21
1Z41A,338,XRAY,1.3,0.19,0.21
1Z45A,699,XRAY,1.85,0.2,0.24
1Z47A,355,XRAY,1.9,0.23,0.28
1Z4EA,153,XRAY,2,0.23,0.24
1Z5ZA,271,XRAY,2,0.22,0.26
1Z67A,135,XRAY,1.45,0.16,0.21
1Z6MA,175,XRAY,1.3,0.16,0.19
1Z6NA,167,XRAY,1.5,0.19,0.22
1Z6OA,212,XRAY,1.91,0.19,0.19
1Z6OM,191,XRAY,1.91,0.19,0.19
1Z70X,311,XRAY,1.15,0.14,0.17
1Z72A,225,XRAY,1.45,0.15,0.17
1Z7KB,62,XRAY,1.9,0.17,0.19
1Z7XW,461,XRAY,1.95,0.18,0.24
1Z82A,335,XRAY,2,0.17,0.21
1Z84A,351,XRAY,1.83,0.19,0.23
1Z8OA,404,XRAY,1.7,0.19,0.22
1Z96A,40,XRAY,1.8,0.17,0.2
1Z9LA,128,XRAY,1.7,0.24,0.25
1Z9TA,255,XRAY,1.54,0.14,0.17
1ZA0A,275,XRAY,2,0.21,0.24
1ZARA,282,XRAY,1.75,0.18,0.22
1ZAVA,180,XRAY,1.9,0.24,0.27
1ZAVU,30,XRAY,1.9,0.24,0.27
1ZB1A,392,XRAY,1.95,0.22,0.25
1ZB9A,143,XRAY,1.8,0.2,0.21
1ZC3B,113,XRAY,2,0.22,0.23
1ZCBA,362,XRAY,2,0.21,0.25
1ZCEA,155,XRAY,1.3,0.2,0.21
1ZCHA,255,XRAY,1.85,0.17,0.2
1ZCJA,463,XRAY,1.9,0.17,0.22
1ZCZA,464,XRAY,1.88,0.16,0.2
1ZD0A,150,XRAY,1.7,0.2,0.25
1ZD8A,227,XRAY,1.48,0.23,0.24
1ZD9A,188,XRAY,1.7,0.21,0.25
1ZDNA,158,XRAY,1.93,0.2,0.23
1ZDYA,307,XRAY,1.44,0.22,0.23
1ZE3H,122,XRAY,1.84,0.19,0.22
1ZEJA,293,XRAY,2,0.18,0.22
1ZELA,298,XRAY,1.93,0.18,0.23
1ZEMA,262,XRAY,1.9,0.17,0.22
1ZGDA,312,XRAY,1.7,0.21,0.24
1ZGKA,308,XRAY,1.35,0.11,0.13
1ZGZA,122,XRAY,1.8,0.2,0.24
1ZH2A,121,XRAY,2,0.2,0.24
1ZHSA,113,XRAY,1.8,0.19,0.22
1ZHVA,134,XRAY,1.5,0.24,0.25
1ZHXA,438,XRAY,1.5,0.23,0.23
1ZI8A,236,XRAY,1.4,0.17,0.19
1ZJAA,557,XRAY,1.6,0.18,0.22
1ZJCA,418,XRAY,1.8,0.17,0.21
1ZJJA,263,XRAY,1.85,0.2,0.22
1ZJRA,211,XRAY,1.85,0.24,0.25
1ZK4A,251,XRAY,1,0.16,0.18
1ZK5A,176,XRAY,1.4,0.19,0.2
1ZKCA,197,XRAY,1.65,0.16,0.19
1ZKEA,83,XRAY,1.6,0.2,0.23
1ZKIA,133,XRAY,1.7,0.16,0.19
1ZKLA,353,XRAY,1.67,0.19,0.21
1ZKPA,268,XRAY,1.502,0.15,0.18
1ZL0A,311,XRAY,1.1,0.1,0.12
1ZLBA,122,XRAY,0.97,0.17,0.2
1ZLDA,118,XRAY,1.65,0.16,0.18
1ZLMA,58,XRAY,1.07,0.16,0.21
1ZM8A,259,XRAY,1.9,0.21,0.26
1ZMAA,118,XRAY,1.25,0.13,0.17
1ZMIA,29,XRAY,1.15,0.17,0.18
1ZMMA,33,XRAY,1.6,0.19,0.22
1ZN6A,227,XRAY,1.8,0.2,0.23
1ZO2A,129,XRAY,1.6,0.21,0.25
1ZODA,433,XRAY,1.8,0.2,0.23
1ZOIA,276,XRAY,1.6,0.22,0.24
1ZOWA,313,XRAY,2,0.21,0.26
1ZPSA,138,XRAY,1.7,0.21,0.23
1ZPVA,91,XRAY,1.9,0.19,0.24
1ZPWX,90,XRAY,1.64,0.19,0.21
1ZQ9A,285,XRAY,1.9,0.17,0.23
1ZR0B,63,XRAY,1.802,0.23,0.29
1ZR6A,503,XRAY,1.55,0.18,0.2
1ZRNA,232,XRAY,1.83,0.2,0.26
1ZS4A,83,XRAY,1.7,0.21,0.23
1ZS9A,261,XRAY,1.7,0.21,0.24
1ZSQA,528,XRAY,1.82,0.22,0.24
1ZSWA,338,XRAY,1.65,0.18,0.22
1ZSYA,357,XRAY,1.75,0.17,0.2
1ZT3A,80,XRAY,1.8,0.23,0.28
1ZTDA,133,XRAY,2,0.23,0.27
1ZTHA,258,XRAY,1.89,0.19,0.26
1ZU4A,320,XRAY,1.95,0.21,0.26
1ZUD1,251,XRAY,1.98,0.17,0.23
1ZUD2,66,XRAY,1.98,0.17,0.23
1ZUHA,168,XRAY,1.8,0.22,0.27
1ZUOA,186,XRAY,1.8,0.2,0.23
1ZUUA,58,XRAY,0.97,0.12,0.14
1ZUYA,58,XRAY,1.39,0.17,0.21
1ZV1A,65,XRAY,1.6,0.21,0.26
1ZVAA,77,XRAY,1.5,0.21,0.25
1ZVTA,256,XRAY,1.7,0.18,0.21
1ZVZB,25,XRAY,1.8,0.24,0.28
1ZWYA,185,XRAY,1.9,0.18,0.23
1ZX6A,58,XRAY,1.6,0.18,0.22
1ZX8A,136,XRAY,1.9,0.17,0.21
1ZXTA,76,XRAY,1.7,0.19,0.24
1ZXXA,319,XRAY,1.85,0.22,0.25
1ZY4A,303,XRAY,1.95,0.22,0.25
1ZY7A,403,XRAY,1.7,0.17,0.21
1ZZGA,415,XRAY,1.95,0.18,0.19
1ZZKA,82,XRAY,0.95,0.12,0.13
1ZZMA,259,XRAY,1.8,0.17,0.23
1ZZWA,149,XRAY,1.6,0.2,0.22
2A07F,93,XRAY,1.9,0.23,0.24
2A0BA,125,XRAY,1.57,0.19,0.24
2A14A,263,XRAY,1.7,0.16,0.2
2A15A,139,XRAY,1.68,0.18,0.21
2A1IA,146,XRAY,1.9,0.22,0.25
2A1KA,233,XRAY,2,0.24,0.26
2A26A,50,XRAY,1.2,0.17,0.2
2A28A,54,XRAY,1.07,0.11,0.17
2A2CA,478,XRAY,1.65,0.17,0.2
2A2MA,258,XRAY,1.88,0.14,0.17
2A35A,215,XRAY,1.5,0.18,0.2
2A38A,194,XRAY,2,0.21,0.26
2A3NA,355,XRAY,1.23,0.11,0.14
2A40B,260,XRAY,1.8,0.17,0.21
2A40C,32,XRAY,1.8,0.17,0.21
2A4AA,281,XRAY,1.84,0.2,0.25
2A4VA,159,XRAY,1.8,0.17,0.21
2A4XA,138,XRAY,1.4,0.22,0.26
2A5JA,191,XRAY,1.501,0.2,0.23
2A5LA,200,XRAY,1.7,0.16,0.2
2A61A,145,XRAY,1.8,0.21,0.27
2A65A,519,XRAY,1.65,0.2,0.22
2A67A,167,XRAY,2,0.19,0.23
2A6CA,83,XRAY,1.9,0.18,0.24
2A6SA,84,XRAY,1.77,0.2,0.22
2A6VA,226,XRAY,1.52,0.19,0.22
2A6ZA,222,XRAY,1,0.13,0.16
2A72A,146,XRAY,2,0.19,0.25
2A8JA,420,XRAY,1.9,0.22,0.27
2A8NA,144,XRAY,1.6,0.23,0.26
2A8YA,270,XRAY,1.45,0.18,0.2
2A97A,439,XRAY,1.8,0.24,0.27
2A9DA,372,XRAY,1.701,0.16,0.19
2A9IA,113,XRAY,1.7,0.18,0.22
2A9SA,171,XRAY,1.75,0.17,0.22
2AALA,131,XRAY,1.65,0.19,0.24
2AANA,139,XRAY,1.85,0.16,0.21
2AAOA,166,XRAY,2,0.21,0.25
2ABKA,211,XRAY,1.85,0.18,0.22
2ABSA,383,XRAY,1.1,0.14,0.17
2ABWA,227,XRAY,1.62,0.15,0.19
2ACFA,182,XRAY,1.4,0.17,0.19
2ACVA,463,XRAY,2,0.21,0.23
2AE0X,345,XRAY,2,0.2,0.24
2AEBA,322,XRAY,1.29,0.17,0.15
2AEFA,234,XRAY,1.7,0.23,0.27
2AENA,164,XRAY,1.604,0.16,0.19
2AEUA,374,XRAY,1.7,0.21,0.26
2AEXA,346,XRAY,1.58,0.19,0.21
2AG4A,164,XRAY,1.8,0.19,0.22
2AG5A,246,XRAY,1.84,0.17,0.22
2AGKA,260,XRAY,1.3,0.19,0.22
2AH5A,210,XRAY,1.74,0.2,0.23
2AH6A,208,XRAY,1.6,0.15,0.18
2AHFA,377,XRAY,1.52,0.19,0.21
2AHNA,222,XRAY,1.3,0.12,0.15
2AHUA,531,XRAY,1.9,0.19,0.22
2AIBA,98,XRAY,1.1,0.12,0.15
2AJ6A,159,XRAY,1.63,0.18,0.22
2AJ7A,163,XRAY,1.67,0.17,0.19
2AKFA,32,XRAY,1.2,0.16,0.2
2AKZA,439,XRAY,1.36,0.12,0.14
2AM9A,266,XRAY,1.64,0.2,0.23
2AMHA,207,XRAY,2,0.2,0.23
2AMLA,373,XRAY,1.5,0.14,0.17
2AN1A,292,XRAY,2,0.2,0.23
2ANRA,178,XRAY,1.94,0.23,0.27
2ANXA,146,XRAY,1.04,0.12,0.15
2AO6B,25,XRAY,1.89,0.22,0.24
2AO9A,155,XRAY,1.9,0.21,0.24
2AOTA,292,XRAY,1.9,0.23,0.26
2AP1A,327,XRAY,1.9,0.17,0.2
2AP3A,199,XRAY,1.6,0.23,0.27
2APJA,260,XRAY,1.6,0.15,0.18
2APOA,357,XRAY,1.95,0.23,0.23
2APOB,60,XRAY,1.95,0.23,0.23
2APRA,325,XRAY,1.8,0.14,1
2AQ2A,112,XRAY,1.8,0.19,0.21
2AQ5A,402,XRAY,1.75,0.16,0.19
2AQ6A,147,XRAY,1.7,0.19,0.19
2AQJA,538,XRAY,1.8,0.17,0.2
2AQPA,164,XRAY,1.3,0.14,0.18
2AR1A,172,XRAY,1.602,0.19,0.23
2AR5A,121,XRAY,1.8,0.22,0.24
2ARCA,164,XRAY,1.5,0.18,0.23
2ARPA,116,XRAY,2,0.2,0.25
2ARRA,382,XRAY,1.55,0.19,0.22
2ARZA,247,XRAY,2,0.2,0.24
2AS0A,396,XRAY,1.8,0.21,0.24
2ASBA,251,XRAY,1.5,0.19,0.22
2ASFA,137,XRAY,1.6,0.18,0.2
2ASHA,381,XRAY,1.9,0.2,0.23
2ASKA,113,XRAY,1.55,0.23,0.26
2ASUB,234,XRAY,1.85,0.2,0.24
2ATVA,196,XRAY,1.9,0.21,0.23
2ATZA,180,XRAY,2,0.2,0.26
2AU3A,407,XRAY,2,0.2,0.24
2AU7A,175,XRAY,1.05,0.12,0.15
2AUWA,170,XRAY,1.85,0.2,0.24
2AVDA,229,XRAY,1.7,0.17,0.21
2AVTA,378,XRAY,2,0.24,0.28
2AXCA,264,XRAY,1.7,0.18,0.21
2AXOA,270,XRAY,1.8,0.21,0.24
2AXQA,467,XRAY,1.7,0.2,0.24
2AXWA,134,XRAY,1.05,0.15,0.17
2AXYA,73,XRAY,1.7,0.21,0.24
2AYDA,76,XRAY,1.6,0.18,0.2
2AYHA,214,XRAY,1.6,0.14,1
2AZ4A,429,XRAY,2,0.2,0.24
